Name,Team,GP,G,A,Pts,diff,PIM,Hits,BkS,PPG,PPA,SHG,SHA,GW,SOG,Pct
Ryan White,MON,20,0,3,3,-7,61,61,17,0,0,0,1,0,12,.000
Akim Aliu,CGY,2,2,1,3,3,12,6,0,0,0,0,0,0,3,.667
Scott Parse,LOS,9,2,0,2,1,14,7,4,1,0,0,0,0,9,.222
Kevin Westgarth,CAR,25,1,1,2,-3,39,31,6,0,0,0,0,0,13,.077
Brian McGrattan,NAS,30,0,2,2,-1,61,29,3,0,0,0,0,0,10,.000
Jeff Taffe,MIN,5,0,2,2,2,0,7,2,0,0,0,0,0,7,.000
Eric Tangradi,PIT,24,0,2,2,-4,16,42,7,0,0,0,0,0,20,.000
Tim Kennedy,SAN,27,1,1,2,-11,4,48,11,0,0,0,0,1,22,.045
Brett MacLean,PHO,5,0,2,2,1,2,3,1,0,1,0,0,0,6,.000
Maksim Mayorov,COB,10,1,1,2,-3,2,11,3,0,0,0,0,0,9,.111
David McIntyre,MIN,7,1,1,2,-1,2,8,3,0,0,0,0,0,6,.167
Niclas Bergfors,NAS,11,1,1,2,-2,2,0,5,0,0,0,0,1,11,.091
Zach Hamill,WAS,16,0,2,2,3,4,13,4,0,0,0,0,0,13,.000
Jason Zucker,MIN,6,0,2,2,-2,2,5,2,0,0,0,0,0,10,.000
Ryan Russell,COB,41,2,0,2,-7,2,37,44,0,0,0,0,0,39,.051
Matt Kassian,MIN,24,2,0,2,-2,55,32,5,0,0,0,0,0,13,.154
Brandon Pirri,CHI,5,0,2,2,2,0,5,2,0,0,0,0,0,5,.000
Ben Smith,CHI,13,2,0,2,-5,0,6,5,0,0,0,0,0,18,.111
Chad Rau,MIN,9,2,0,2,-1,0,2,5,0,0,0,0,2,7,.286
Tomas Kubalik,COB,8,1,1,2,-3,6,6,5,0,0,0,0,0,8,.125
Brad Malone,COL,9,0,2,2,1,0,13,1,0,0,0,0,0,6,.000
Pierre-Cedric Labrie,TAM,14,0,2,2,-2,15,36,5,0,0,0,0,0,5,.000
Stephane Veilleux,MIN,22,0,2,2,-2,15,27,5,0,0,0,0,0,16,.000
Zach Boychuk,CAR,16,0,2,2,-3,0,16,2,0,0,0,0,0,10,.000
Mike Duco,VAN,6,0,2,2,1,5,17,2,0,0,0,0,0,4,.000
Josh Green,EDM,7,1,1,2,-6,7,4,2,1,0,0,0,0,14,.071
Jason Williams,PIT,8,1,1,2,1,4,1,2,0,1,0,0,0,4,.250
Rob Klinkhammer,PHO,15,0,2,2,0,2,47,3,0,0,0,0,0,26,.000
Jed Ortmeyer,MIN,35,1,1,2,-8,14,53,14,0,0,0,0,1,41,.024
Brad Staubitz,ANA,62,1,0,1,-5,121,96,20,0,0,0,0,0,27,.037
Alexandre Giroux,COB,9,1,0,1,-2,8,11,0,0,0,0,0,0,18,.056
Chris VandeVelde,EDM,5,1,0,1,2,2,4,3,0,0,0,0,0,1,1.000
Mika Zibanejad,OTT,9,0,1,1,-3,2,15,5,0,1,0,0,0,12,.000
Cody Bass,COB,14,0,1,1,0,32,22,7,0,0,0,0,0,13,.000
Mike Angelidis,TAM,6,1,0,1,-1,5,6,2,0,0,0,0,0,8,.125
Jason Jaffray,WPG,13,0,1,1,-1,7,16,2,0,0,0,0,0,10,.000
Aaron Volpatti,VAN,23,1,0,1,-2,37,61,8,0,0,0,0,0,17,.059
Riley Nash,CAR,5,0,1,1,1,2,1,1,0,0,0,0,0,2,.000
Ryan Hamilton,TOR,2,0,1,1,-1,2,5,0,0,0,0,0,0,1,.000
Mark Scheifele,WPG,7,1,0,1,0,0,3,1,1,0,0,0,0,5,.200
Tom Sestito,PHI,14,0,1,1,-3,83,37,2,0,0,0,0,0,4,.000
Cam Janssen,NJD,48,0,1,1,-8,75,74,3,0,0,0,0,0,17,.000
Travis Turnbull,BUF,3,1,0,1,0,5,7,2,0,0,0,0,0,3,.333
Adam Cracknell,STL,2,1,0,1,1,0,1,3,0,0,0,0,0,1,1.000
Cody Almond,MIN,10,1,0,1,-5,15,15,8,0,0,0,0,0,7,.143
Krys Kolanos,CGY,13,0,1,1,-1,2,13,0,0,0,0,0,0,29,.000
Colton Orr,TOR,5,1,0,1,1,5,7,0,0,0,0,0,0,3,.333
Paul Bissonnette,PHO,31,1,0,1,-4,41,70,1,0,0,0,0,1,15,.067
Bill Thomas,FLA,7,1,0,1,0,0,10,1,0,0,0,0,0,9,.111
Jarod Palmer,MIN,6,1,0,1,-2,4,3,1,0,0,0,0,0,14,.071
J.T. Brown,TAM,5,0,1,1,2,0,2,3,0,0,0,0,0,13,.000
Nino Niederreiter,NYI,55,1,0,1,-29,12,129,14,0,0,0,0,0,74,.014
Mark Cullen,FLA,6,0,1,1,2,2,2,1,0,0,0,0,0,1,.000
Andre Deveaux,FLA,9,0,1,1,3,29,16,0,0,0,0,0,0,2,.000
Brad Mills,NJD,27,0,1,1,-10,32,36,3,0,0,0,0,0,18,.000
Ryan O'Marra,ANA,9,0,1,1,-1,4,19,7,0,0,0,0,0,7,.000
John Scott,BUF,35,0,1,1,-1,53,39,10,0,0,0,0,0,9,.000
Philippe Cornet,EDM,2,0,1,1,0,0,2,0,0,0,0,0,0,0,N/A
Jody Shelley,PHI,30,0,1,1,-6,64,49,6,0,0,0,0,0,19,.000
Carter Camper,BOS,3,1,0,1,1,0,1,2,0,0,0,0,0,1,1.000
Fabian Brunnstrom,DET,5,0,1,1,-2,4,4,1,0,0,0,0,0,6,.000
Peter Holland,ANA,4,1,0,1,0,2,4,1,0,0,0,0,1,1,1.000
Patrick Eaves,DET,10,0,1,1,0,2,21,7,0,0,0,0,0,24,.000
Stephen Gionta,NJD,1,1,0,1,1,0,1,1,0,0,0,0,1,2,.500
Nikita Filatov,OTT,9,0,1,1,1,4,8,1,0,0,0,0,0,6,.000
Andre Petersson,OTT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Jon Matsumoto,SAN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Bracken Kearns,SAN,5,0,0,0,0,10,6,1,0,0,0,0,0,0,N/A
Reilly Smith,DAL,3,0,0,0,-3,2,0,0,0,0,0,0,0,2,.000
Aaron Gagnon,WPG,7,0,0,0,-1,0,1,4,0,0,0,0,0,6,.000
Kristian Huselius,COB,2,0,0,0,-2,2,0,0,0,0,0,0,0,2,.000
Brandon Saad,CHI,2,0,0,0,0,0,0,1,0,0,0,0,0,3,.000
Jeremy Welsh,CAR,1,0,0,0,0,4,3,0,0,0,0,0,0,2,.000
Chris Mueller,NAS,4,0,0,0,-1,0,1,2,0,0,0,0,0,4,.000
Eric Boulton,NYI,51,0,0,0,-12,115,89,10,0,0,0,0,0,25,.000
Victor Oreskovich,VAN,1,0,0,0,0,7,1,0,0,0,0,0,0,0,N/A
Matt Fraser,DAL,1,0,0,0,0,0,0,1,0,0,0,0,0,1,.000
Lane MacDermid,BOS,5,0,0,0,-2,5,10,3,0,0,0,0,0,6,.000
Andy Miele,PHO,7,0,0,0,-3,6,11,0,0,0,0,0,0,4,.000
Kris Foucault,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Rhett Rakhshani,NYI,5,0,0,0,0,2,1,1,0,0,0,0,0,3,.000
Bill Sweatt,VAN,2,0,0,0,0,0,1,2,0,0,0,0,0,2,.000
Tim Sestito,NJD,18,0,0,0,-5,7,28,5,0,0,0,0,0,6,.000
Mark Bell,ANA,5,0,0,0,0,5,7,0,0,0,0,0,0,0,N/A
Kris Newbury,NYR,7,0,0,0,-1,24,14,1,0,0,0,0,0,2,.000
Mike Connolly,COL,2,0,0,0,0,2,2,1,0,0,0,0,0,1,.000
Andrew Joudrey,COB,1,0,0,0,0,0,0,2,0,0,0,0,0,1,.000
Brett Sterling,STL,4,0,0,0,-1,0,1,0,0,0,0,0,0,5,.000
Frazer McLaren,SAN,7,0,0,0,0,9,6,2,0,0,0,0,0,2,.000
Greg Rallo,FLA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.000
Pierre-Luc Letourneau-Leblond,ANA,3,0,0,0,1,10,2,0,0,0,0,0,0,3,.000
Trent Whitfield,BOS,1,0,0,0,0,0,2,3,0,0,0,0,0,1,.000
Guillaume Desbiens,VAN,10,0,0,0,-1,25,16,2,0,0,0,0,0,2,.000
Francis Wathier,DAL,1,0,0,0,0,0,3,0,0,0,0,0,0,0,N/A
Scott Glennie,DAL,1,0,0,0,0,2,2,0,0,0,0,0,0,0,N/A
Zack Stortini,NAS,1,0,0,0,0,7,1,0,0,0,0,0,0,1,.000
Steve MacIntyre,PIT,12,0,0,0,0,6,5,0,0,0,0,0,0,0,N/A
D.J. King,WAS,1,0,0,0,0,0,2,0,0,0,0,0,0,1,.000
Vladimir Zharkov,NJD,4,0,0,0,-2,0,1,0,0,0,0,0,0,0,N/A
Colin McDonald,NYI,5,0,0,0,0,0,8,0,0,0,0,0,0,6,.000
Jay Rosehill,TOR,31,0,0,0,-4,60,53,5,0,0,0,0,0,15,.000
Carter Ashton,TOR,15,0,0,0,-10,13,32,2,0,0,0,0,0,22,.000
Steve Zalewski,NJD,7,0,0,0,-2,0,11,1,0,0,0,0,0,6,.000
Joel Rechlicz,PHO,3,0,0,0,0,10,2,0,0,0,0,0,0,0,N/A
Jean-Francois Jacques,FLA,6,0,0,0,2,12,6,0,0,0,0,0,0,7,.000
Milan Kytnar,EDM,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.000
John McCarthy,SAN,10,0,0,0,-2,10,10,1,0,0,0,0,0,14,.000
Micheal Haley,NYR,14,0,0,0,-1,57,31,2,0,0,0,0,0,13,.000
Colin Stuart,BUF,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,N/A
Raitis Ivanans,CGY,1,0,0,0,-1,0,3,1,0,0,0,0,0,0,N/A
Trevor Gillies,NYI,3,0,0,0,-1,0,2,0,0,0,0,0,0,1,.000
Alexandre Bolduc,PHO,2,0,0,0,-1,2,1,0,0,0,0,0,0,1,.000
Rostislav Olesz,CHI,6,0,0,0,-1,6,7,1,0,0,0,0,0,6,.000
Philippe Dupuis,PIT,30,0,0,0,-2,16,37,16,0,0,0,0,0,30,.000
Greg Nemisz,CGY,9,0,0,0,1,0,3,1,0,0,0,0,0,2,.000
Andreas Engqvist,MON,12,0,0,0,-1,4,9,5,0,0,0,0,0,3,.000
Gabriel Dumont,MON,3,0,0,0,-1,0,7,1,0,0,0,0,0,1,.000
Mark Mancari,BUF,6,0,0,0,0,0,5,0,0,0,0,0,0,5,.000
Joakim Andersson,DET,5,0,0,0,1,0,5,1,0,0,0,0,0,3,.000
Brandon Bollig,CHI,18,0,0,0,-2,58,27,6,0,0,0,0,0,16,.000
Dane Byers,EDM,8,0,0,0,0,29,4,4,0,0,0,0,0,8,.000
Carl Klingberg,WPG,6,0,0,0,-1,4,1,0,0,0,0,0,0,7,.000
Brandon Segal,NYR,10,0,0,0,-2,4,12,5,0,0,0,0,0,8,.000
Evan Brophey,COL,3,0,0,0,0,0,4,0,0,0,0,0,0,0,N/A
Jeremy Morin,CHI,3,0,0,0,-1,0,4,0,0,0,0,0,0,2,.000
Mattias Ritola,TAM,5,0,0,0,-2,6,4,1,0,0,0,0,0,14,.000
Ryan Thang,NAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Josh Hennessy,BOS,3,0,0,0,1,2,2,0,0,0,0,0,0,2,.000
Matt Watkins,NYI,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,N/A
Kenndal McArdle,WPG,9,0,0,0,-3,4,10,4,0,0,0,0,0,3,.000
Pat Maroon,ANA,2,0,0,0,0,2,4,1,0,0,0,0,0,1,.000
Jon DiSalvatore,MIN,1,0,0,0,0,2,1,0,0,0,0,0,0,2,.000
Derek Whitmore,BUF,2,0,0,0,0,0,3,1,0,0,0,0,0,2,.000
Patrice Cormier,WPG,9,0,0,0,1,0,12,0,0,0,0,0,0,8,.000
Kyle Wilson,TAM,5,0,0,0,-1,0,7,1,0,0,0,0,0,2,.000
Ben Holmstrom,PHI,5,0,0,0,0,2,8,4,0,0,0,0,0,3,.000
Mike Hoffman,OTT,1,0,0,0,-1,0,2,0,0,0,0,0,0,0,N/A
Max Sauve,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Riley Sheahan,DET,1,0,0,0,0,4,1,1,0,0,0,0,0,3,.000
Nicklas Lidstrom,DET,70,11,23,34,21,28,41,79,4,13,0,0,0,148,.074
Willie Mitchell,LOS,76,5,19,24,20,44,74,139,0,5,0,3,2,104,.048
Pavel Kubina,PHI,69,3,12,15,-2,74,130,119,0,0,0,0,1,75,.040
Jaroslav Spacek,CAR,46,5,10,15,6,8,29,68,3,2,0,0,1,42,.119
Steve Montador,CHI,52,5,9,14,4,45,49,46,2,4,0,0,1,57,.088
Chris Pronger,PHI,13,1,11,12,1,10,15,27,1,7,0,0,0,23,.043
Milan Jurcina,NYI,65,3,8,11,-34,30,173,116,2,1,0,0,0,127,.024
Chris Campoli,MON,43,2,9,11,-3,8,43,59,0,3,0,0,0,43,.047
Andy Sutton,EDM,52,3,7,10,5,80,112,95,0,0,0,0,1,41,.073
Steve Staios,NYI,65,0,8,8,-19,53,55,140,0,0,0,0,0,67,.000
Brayden McNabb,BUF,25,1,7,8,-1,15,49,30,1,0,0,0,0,23,.043
Mark Flood,WPG,33,3,4,7,-1,10,10,43,1,1,0,0,1,30,.100
Marc-Andre Bourdon,PHI,45,4,3,7,4,52,73,77,0,0,0,0,2,45,.089
Sean O'Donnell,CHI,51,0,7,7,-6,23,46,44,0,0,0,0,0,30,.000
Jeff Woywitka,STL,27,1,5,6,2,8,18,22,0,0,0,0,0,13,.077
Steven Kampfer,MIN,23,2,3,5,-1,6,19,31,0,0,0,0,0,20,.100
Jim Vandermeer,VAN,25,1,3,4,3,33,14,10,0,0,0,0,0,19,.053
Colin White,STL,54,1,3,4,-5,21,65,94,0,0,0,0,0,33,.030
Alexandre Picard,PIT,17,0,4,4,4,4,12,14,0,0,0,0,0,10,.000
Brett Lebda,COB,30,1,3,4,-1,14,21,21,0,0,0,0,0,36,.028
Sami Lepisto,CHI,26,1,2,3,3,4,24,9,0,0,0,0,0,19,.053
Frederic St. Denis,MON,17,1,2,3,3,10,7,21,0,0,0,0,0,11,.091
Mike Sauer,NYR,19,1,2,3,9,21,21,31,0,0,0,0,0,14,.071
Randy Jones,WPG,39,1,1,2,4,8,23,40,0,0,0,0,0,24,.042
Nate Guenin,ANA,15,2,0,2,6,6,26,17,0,0,0,0,1,5,.400
Mike Mottau,BOS,35,0,2,2,-11,15,38,47,0,0,0,0,0,22,.000
Mike Commodore,MON,30,0,2,2,7,38,53,32,0,0,0,0,0,23,.000
Doug Janik,DET,9,0,1,1,2,6,7,6,0,0,0,0,0,6,.000
Carl Sneep,PIT,1,0,1,1,1,0,2,1,0,0,0,0,0,0,N/A
Chay Genoway,MIN,1,0,1,1,0,0,0,1,0,0,0,0,0,1,.000
Colten Teubert,EDM,24,0,1,1,-5,25,68,28,0,0,0,0,0,13,.000
Cade Fairchild,STL,5,0,1,1,-1,0,1,4,0,0,0,0,0,1,.000
Alex Plante,EDM,3,0,1,1,0,2,5,1,0,0,0,0,0,0,N/A
Dylan Olsen,CHI,28,0,1,1,-5,6,43,23,0,0,0,0,0,16,.000
Matt Walker,PHI,4,0,0,0,-2,16,1,5,0,0,0,0,0,2,.000
Matt Donovan,NYI,3,0,0,0,-3,0,3,4,0,0,0,0,0,6,.000
Arturs Kulda,WPG,9,0,0,0,3,4,13,8,0,0,0,0,0,8,.000
Bryan Rodney,EDM,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,N/A
Kris Fredheim,MIN,3,0,0,0,-2,2,1,5,0,0,0,0,0,0,N/A
Brendan Bell,NYR,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,.000
Aaron Ness,NYI,9,0,0,0,0,2,2,17,0,0,0,0,0,6,.000
Kevin Marshall,WAS,10,0,0,0,-1,8,8,4,0,0,0,0,0,6,.000
Mat Clark,ANA,2,0,0,0,-2,0,2,2,0,0,0,0,0,2,.000
Ty Wishart,NYI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,N/A
Clay Wilson,CGY,5,0,0,0,0,4,1,2,0,0,0,0,0,7,.000
Evan Oberg,TAM,3,0,0,0,2,0,3,0,0,0,0,0,0,3,.000
Brett Festerling,WPG,5,0,0,0,-1,2,7,3,0,0,0,0,0,2,.000
Calvin de Haan,NYI,1,0,0,0,1,0,2,0,0,0,0,0,0,2,.000
Taylor Chorney,STL,5,0,0,0,-1,0,0,4,0,0,0,0,0,2,.000
Sean Collins,NYR,2,0,0,0,-1,0,0,1,0,0,0,0,0,3,.000
Joe Piskula,CGY,5,0,0,0,-5,2,6,5,0,0,0,0,0,2,.000
Teemu Laakso,NAS,9,0,0,0,-1,8,7,7,0,0,0,0,0,4,.000
Tyler Cuma,MIN,1,0,0,0,0,2,2,1,0,0,0,0,0,0,N/A
Steven Oleksy,WAS,1,0,1,1,2,0,2,3,0,0,N/A,0,0,0,0
P.K. Subban,MON,41,11,27,38,10,53,47,49,0,0,N/A,7,19,0,0
Kris Letang,PIT,34,5,31,36,13,8,43,58,0,0,N/A,1,12,0,0
Ryan Suter,MIN,47,4,28,32,0,24,32,70,0,0,N/A,3,12,0,0
Kimmo Timonen,PHI,45,5,24,29,3,36,31,79,0,0,N/A,3,14,0,0
Niklas Kronwall,DET,47,5,24,29,-7,42,42,79,0,0,N/A,2,14,0,0
Andrei Markov,MON,47,9,19,28,-11,10,21,60,0,0,N/A,8,15,0,0
Cody Franson,TOR,44,4,24,28,6,8,122,57,0,0,N/A,3,9,0,0
Dustin Byfuglien,WPG,43,8,20,28,-1,34,80,47,0,0,N/A,4,6,0,0
Keith Yandle,PHO,47,10,18,28,1,44,17,38,0,0,N/A,5,5,0,0
Mark Streit,NYI,48,6,21,27,-14,22,34,86,0,0,N/A,3,8,0,0
Alex Goligoski,DAL,46,3,24,27,5,18,55,64,0,0,N/A,0,11,0,1
Shea Weber,NAS,47,8,19,27,-1,48,107,89,0,0,N/A,3,9,0,0
Duncan Keith,CHI,47,3,24,27,16,31,19,66,0,0,N/A,2,8,0,1
Dion Phaneuf,TOR,47,9,18,27,-4,63,125,90,0,0,N/A,3,12,0,0
Brian Campbell,FLA,47,8,19,27,-20,12,14,64,0,0,N/A,6,11,0,0
Sergei Gonchar,OTT,43,3,23,26,3,26,25,62,0,0,N/A,2,10,0,0
Slava Voynov,LOS,47,5,19,24,6,14,83,48,2,0,1.000,1,7,0,0
Alex Pietrangelo,STL,46,5,19,24,0,10,24,100,0,0,N/A,2,4,0,1
Dan Hamhuis,VAN,47,4,20,24,9,12,47,63,0,0,N/A,0,6,1,0
Francois Beauchemin,ANA,47,5,18,23,20,22,79,109,0,0,N/A,0,7,0,0
Oliver Ekman-Larsson,PHO,47,3,20,23,5,26,71,38,0,0,N/A,0,8,0,0
Kevin Shattenkirk,STL,47,5,18,23,2,16,55,59,0,0,N/A,2,7,0,0
Justin Schultz,EDM,47,7,16,23,-20,8,15,34,0,1,.000,4,10,0,0
Mike Green,WAS,34,10,13,23,-2,18,35,57,0,0,N/A,2,9,0,0
Fedor Tyutin,COB,47,4,18,22,9,28,58,58,1,0,1.000,0,5,0,1
Drew Doughty,LOS,47,6,16,22,3,36,124,44,0,0,N/A,3,7,0,0
Jay Bouwmeester,STL,46,7,15,22,-6,22,41,60,0,0,N/A,1,6,0,2
Christian Ehrhoff,BUF,47,5,17,22,6,34,38,81,0,0,N/A,1,8,0,0
Alexander Edler,VAN,45,8,14,22,-5,37,77,81,1,0,1.000,5,5,0,0
John Carlson,WAS,47,6,16,22,12,18,58,122,1,0,1.000,0,5,0,0
Dennis Wideman,CGY,46,6,16,22,-9,12,40,100,0,1,.000,4,9,0,1
Paul Martin,PIT,33,6,15,21,12,14,17,48,0,0,N/A,2,6,0,0
Michael Del Zotto,NYR,45,3,18,21,6,18,75,64,0,0,N/A,0,8,1,0
Matt Carle,TAM,47,4,17,21,0,4,31,84,0,0,N/A,2,3,0,0
Dan Boyle,SAN,45,7,13,20,3,27,26,80,0,0,N/A,5,8,0,1
Brent Seabrook,CHI,46,8,12,20,13,23,104,102,0,0,N/A,3,4,0,0
Patrick Wiercioch,OTT,41,5,14,19,8,37,26,29,0,0,N/A,3,7,0,0
Marek Zidlicky,NJD,47,4,15,19,-10,38,52,41,0,0,N/A,1,10,0,0
Victor Hedman,TAM,43,4,15,19,3,29,55,84,0,0,N/A,0,2,0,0
Ryan McDonagh,NYR,46,4,15,19,11,20,69,77,0,1,.000,0,1,0,1
Zdeno Chara,BOS,46,7,12,19,15,66,100,64,0,1,.000,3,1,0,1
Brent Burns,SAN,29,9,9,18,-1,20,52,13,4,9,.308,2,1,0,0
Jack Johnson,COB,43,4,14,18,-6,12,63,86,0,0,N/A,3,5,0,0
Roman Josi,NAS,47,5,13,18,-6,8,29,73,0,0,N/A,1,6,0,0
Nick Leddy,CHI,47,6,12,18,16,10,38,38,0,0,N/A,2,6,0,0
Sheldon Souray,ANA,43,7,10,17,23,52,34,58,1,0,1.000,2,3,0,0
Sami Salo,TAM,45,2,15,17,8,16,40,64,0,0,N/A,1,6,0,0
Joe Corvo,CAR,39,6,11,17,-3,14,27,38,0,0,N/A,3,5,0,0
Andy Greene,NJD,47,4,12,16,12,18,47,70,0,0,N/A,2,4,1,0
Jake Muzzin,LOS,44,7,9,16,15,35,69,29,0,0,N/A,3,4,0,0
Dougie Hamilton,BOS,42,5,11,16,4,14,59,33,0,0,N/A,2,2,0,0
Jason Garrison,VAN,47,8,8,16,18,28,36,58,0,0,N/A,3,3,0,0
Grant Clitsome,WPG,44,4,12,16,10,18,82,54,0,0,N/A,2,1,0,0
Tobias Enstrom,WPG,22,4,11,15,-8,8,9,38,0,0,N/A,1,6,0,1
Mark Giordano,CGY,47,4,11,15,-7,40,65,93,0,0,N/A,1,2,1,1
Dennis Seidenberg,BOS,44,3,12,15,19,10,106,111,0,0,N/A,0,1,0,0
Carl Gunnarsson,TOR,36,1,14,15,6,14,73,67,0,0,N/A,0,0,0,0
Justin Faulk,CAR,37,5,10,15,3,15,60,47,0,0,N/A,1,2,1,0
T.J. Brodie,CGY,47,2,12,14,-9,8,24,74,0,0,N/A,0,6,0,0
James Wisniewski,COB,29,5,9,14,-1,15,53,46,0,0,N/A,4,1,0,1
Matt Niskanen,PIT,39,4,10,14,4,12,48,42,0,0,N/A,0,2,0,0
Dan Girardi,NYR,45,2,12,14,-2,16,98,122,0,0,N/A,0,2,0,0
Raphael Diaz,MON,22,1,13,14,4,4,11,40,0,0,N/A,0,8,0,0
Jared Spurgeon,MIN,38,5,9,14,-1,4,45,52,0,0,N/A,4,3,0,0
Kevin Klein,NAS,46,3,11,14,-1,9,64,87,0,0,N/A,0,0,0,0
Lubomir Visnovsky,NYI,35,3,11,14,12,20,20,52,0,0,N/A,1,7,0,0
Zach Bogosian,WPG,33,5,9,14,-5,29,79,50,0,0,N/A,0,3,0,0
Stephane Robidas,DAL,47,1,12,13,3,56,136,91,0,0,N/A,0,4,0,0
Trevor Daley,DAL,44,4,9,13,1,14,27,69,0,0,N/A,2,1,0,1
Ron Hainsey,WPG,47,0,13,13,-8,10,36,123,0,0,N/A,0,1,0,0
Jakub Kindl,DET,40,4,9,13,15,28,46,32,0,0,N/A,1,2,0,0
Ryan Whitney,EDM,34,4,9,13,-7,23,16,55,0,0,N/A,0,7,0,0
Tyson Barrie,COL,31,2,11,13,-9,10,29,23,0,0,N/A,1,4,0,0
Chris Phillips,OTT,46,5,8,13,-5,43,91,77,0,0,N/A,1,0,0,0
Jonathan Ericsson,DET,44,2,10,12,4,29,64,38,0,0,N/A,0,0,0,0
Andrew MacDonald,NYI,48,3,9,12,-2,20,26,123,0,0,N/A,1,2,0,0
Erik Karlsson,OTT,15,6,6,12,7,8,10,11,0,0,N/A,2,2,1,0
Johnny Oduya,CHI,47,3,9,12,14,10,24,76,0,0,N/A,0,1,0,1
Andrej Sekera,BUF,37,2,10,12,-2,4,30,73,0,0,N/A,0,0,0,1
Alexei Emelin,MON,38,3,9,12,2,33,110,47,0,0,N/A,0,0,0,0
Jeff Petry,EDM,47,3,9,12,0,29,112,85,0,1,.000,0,0,1,0
Eric Brewer,TAM,47,4,8,12,1,30,87,93,0,0,N/A,1,0,0,0
Tom Gilbert,MIN,42,3,9,12,-10,18,24,56,0,0,N/A,1,2,0,0
Andrew Ference,BOS,46,3,9,12,8,35,84,56,0,0,N/A,0,0,0,1
Michal Rozsival,CHI,26,0,12,12,20,14,44,25,0,2,.000,0,0,0,1
Matt Irwin,SAN,37,6,6,12,-1,10,38,61,0,0,N/A,4,1,0,0
Barret Jackman,STL,46,3,9,12,6,39,70,89,0,0,N/A,0,0,0,0
Rob Scuderi,LOS,47,1,10,11,-5,4,27,63,0,1,.000,0,0,0,1
Kevin Bieksa,VAN,35,6,5,11,8,42,60,50,0,0,N/A,2,1,0,0
Derek Morris,PHO,39,0,11,11,-6,36,92,69,0,0,N/A,0,3,0,0
John-Michael Liles,TOR,31,2,9,11,1,4,43,49,0,1,.000,0,1,0,0
Marc Staal,NYR,21,2,9,11,4,14,47,36,0,0,N/A,1,2,0,0
Luke Schenn,PHI,46,3,8,11,2,34,179,100,0,0,N/A,0,0,0,0
Jonas Brodin,MIN,44,2,9,11,3,10,17,59,0,0,N/A,1,1,0,0
Travis Hamonic,NYI,48,3,7,10,-8,28,59,109,0,0,N/A,1,2,0,1
Dmitry Kulikov,FLA,34,3,7,10,-5,22,84,49,0,0,N/A,2,4,0,0
Andre Benoit,OTT,33,3,7,10,-3,8,29,54,0,0,N/A,1,1,0,0
Clayton Stoner,MIN,47,0,10,10,1,42,87,57,0,0,N/A,0,0,0,1
Cam Fowler,ANA,36,1,9,10,-4,4,19,39,0,0,N/A,1,4,0,0
Jordan Leopold,STL,38,2,8,10,-8,14,39,57,0,0,N/A,0,4,0,0
Jay Harrison,CAR,47,3,7,10,-10,51,83,110,0,0,N/A,0,1,0,0
Marc Methot,OTT,45,2,8,10,2,31,123,79,0,0,N/A,0,1,0,0
Niklas Hjalmarsson,CHI,46,2,8,10,15,22,26,94,0,0,N/A,0,0,0,0
Jan Hejda,COL,45,1,9,10,-4,28,96,100,0,1,.000,0,0,0,0
Ben Lovejoy,ANA,34,0,10,10,3,29,74,40,0,0,N/A,0,3,0,1
Paul Postma,WPG,34,4,5,9,-5,6,17,27,0,0,N/A,2,2,0,0
Marc-Andre Bergeron,CAR,24,1,8,9,-2,9,16,18,0,0,N/A,0,5,0,0
T.J. Brennan,FLA,28,3,6,9,-9,8,31,32,0,0,N/A,1,3,0,0
Jack Hillen,WAS,22,3,6,9,9,14,10,31,0,0,N/A,0,0,0,0
Mike Weaver,FLA,26,1,8,9,-7,8,48,48,0,0,N/A,0,0,0,0
Tim Gleason,CAR,41,0,9,9,-2,40,88,63,0,0,N/A,0,1,0,0
Filip Kuba,FLA,43,1,8,9,-22,24,34,67,0,0,N/A,0,4,0,0
Francis Bouillon,MON,47,1,8,9,3,21,76,50,0,0,N/A,0,0,0,0
Joni Pitkanen,CAR,22,1,8,9,2,12,16,34,0,0,N/A,0,2,0,0
Michael Stone,PHO,39,5,4,9,2,16,88,61,0,0,N/A,1,1,0,0
Nikita Nikitin,COB,38,3,6,9,2,17,31,56,0,0,N/A,1,1,0,0
Steve Oleksy,WAS,27,1,8,9,9,33,58,52,0,0,N/A,0,0,0,0
Brooks Orpik,PIT,46,0,8,8,17,32,119,114,0,0,N/A,0,0,0,0
Nick Schultz,EDM,47,1,7,8,-15,24,51,107,0,2,.000,0,0,0,0
Mark Fraser,TOR,44,0,8,8,19,85,149,101,0,0,N/A,0,0,0,0
