name,g,ab,r,hr,rbi,sb,avg,obp,r_score,hr_score,rbi_score,sb_score,avg_score,obp_score,total_score
Miguel Cabrera,161,622,109.677018634,44.2732919255,139.863354037,4.0248447205,0.329581993569,0.393113342898,1.71134391228,2.36099814196,2.72863794788,-0.632455086864,2.01572544828,1.79422642433,9.97847678787
Mike Trout,139,559,150.345323741,34.964028777,96.7338129496,57.1079136691,0.325581395349,0.399061032864,3.81444262554,1.49836055972,0.962198599087,3.59229107725,1.88791305707,1.96923841271,13.7244443314
Ryan Braun,154,598,113.61038961,43.1298701299,117.818181818,31.5584415584,0.319397993311,0.391432791728,1.91475212953,2.25504361071,1.82574265438,1.55887371024,1.69036375151,1.74477586394,10.9895517203
Carlos Gonzalez,135,518,106.8,26.4,102.0,24.0,0.303088803089,0.371329879102,1.56256332823,0.704779697245,1.17788371396,0.957316610897,1.16931252712,1.15324356631,6.72509944377
Josh Hamilton,148,562,112.743243243,47.0675675676,140.108108108,7.66216216216,0.284697508897,0.353773584906,1.86990899175,2.61992810726,2.73866224238,-0.34297026216,0.581741579304,0.636646034568,8.10391669311
Joey Votto,111,374,86.1081081081,20.4324324324,81.7297297297,7.2972972973,0.336898395722,0.473684210526,0.492514033147,0.151798438017,0.347682369056,-0.372008926819,2.24947220382,4.16504061109,7.03449872831
Jose Bautista,92,332,112.695652174,47.5434782609,114.456521739,8.80434782609,0.240963855422,0.358395989975,1.86744789296,2.66402810136,1.68806048826,-0.252066616271,-0.815475166588,0.772661245001,5.92465594471
Albert Pujols,154,607,89.4155844156,31.5584415584,110.454545455,8.41558441558,0.285008237232,0.34328358209,0.663555072305,1.1827837544,1.52415314763,-0.283007305267,0.591668827527,0.327975565605,4.0071290622
Matt Kemp,106,403,113.094339623,35.1509433962,105.452830189,13.7547169811,0.302729528536,0.367483296214,1.88806539984,1.51568089675,1.31929989777,0.14192064771,1.15783430882,1.04005708155,7.06285823243
Jacoby Ellsbury,74,303,94.1351351351,8.75675675676,56.9189189189,30.6486486486,0.270627062706,0.312693498452,0.907619363137,-0.930121416996,-0.668484077105,1.48646561135,0.132214465116,-0.572143874547,0.355550070952
David Ortiz,90,324,117.0,41.4,108.0,0.0,0.317901234568,0.415143603133,2.09004060614,2.09474617764,1.42362331205,-0.952782219996,1.64254482457,2.44247131781,8.74064401821
Robinson Cano,161,627,105.652173913,33.2049689441,94.5838509317,3.01863354037,0.312599681021,0.378766140603,1.50320527139,1.33535827941,0.874143465386,-0.712536870147,1.47316909657,1.37205707523,5.84539631784
Adrian Beltre,156,604,98.6538461538,37.3846153846,105.923076923,1.03846153846,0.32119205298,0.359327217125,1.14129753841,1.72266284289,1.33855960502,-0.87013371289,1.7476809435,0.80006279353,5.88013001047
Prince Fielder,162,581,83.0,30.0,108.0,1.0,0.313253012048,0.411594202899,0.331783013116,1.03837165254,1.42362331205,-0.873194768708,1.49404192515,2.33802949313,5.75265462728
Matt Holliday,157,599,98.025477707,27.8598726115,105.248407643,4.12738853503,0.295492487479,0.379360465116,1.10880243274,0.840057963618,1.31092744541,-0.62429388602,0.926623006952,1.38954519507,4.95166215777
Andrew McCutchen,157,593,110.407643312,31.9872611465,99.0573248408,20.6369426752,0.327150084317,0.39970282318,1.74912704136,1.22252007797,1.05736174547,0.68965944988,1.93803003385,1.98812322344,8.64482157197
Adrian Gonzalez,159,629,76.4150943396,18.3396226415,110.037735849,2.03773584906,0.298887122417,0.343567251462,-0.00874523325738,-0.042130592599,1.50708204348,-0.790604017373,1.03507588943,0.336322594653,2.03700068433
Paul Konerko,144,533,74.25,29.25,84.375,0.0,0.298311444653,0.371237458194,-0.120709749794,0.968873328521,0.456023644566,-0.952782219996,1.01668395215,1.15052406228,2.51861301773
Evan Longoria,74,273,85.3783783784,37.2162162162,120.405405405,4.37837837838,0.289377289377,0.36858974359,0.454777184966,1.7070582296,1.93170653513,-0.604318244089,0.731252702543,1.07261452089,5.29309092904
Dustin Pedroia,141,563,93.0638297872,17.2340425532,74.6808510638,22.9787234043,0.289520426288,0.347266881029,0.852218458361,-0.144578543543,0.0589842673306,0.876035809583,0.735825686329,0.445184948023,2.82367062608
Yoenis Cespedes,129,487,87.9069767442,28.8837209302,102.976744186,20.0930232558,0.29158110883,0.355555555556,0.585539751918,0.934932286558,1.21788783458,0.646370289589,0.801661031118,0.689080883808,4.87547207757
Buster Posey,148,530,85.3783783784,26.2702702703,112.743243243,1.09459459459,0.335849056604,0.408196721311,0.454777184966,0.692758365523,1.61789042676,-0.865666226019,2.21594758213,2.2380579056,6.35376523895
Curtis Granderson,160,596,103.275,43.5375,107.325,10.125,0.231543624161,0.319180087848,1.3802733866,2.2928164011,1.39597760726,-0.146959275713,-1.1164357272,-0.381274660701,3.42439773136
David Wright,156,581,94.5,21.8076923077,96.5769230769,15.5769230769,0.306368330465,0.391044776119,0.926487787228,0.279236113246,0.955772923376,0.286945386594,1.27408791641,1.73335842564,5.45588855249
Justin Upton,150,554,115.56,18.36,72.36,19.44,0.279783393502,0.355095541401,2.01557322573,-0.0402423362482,-0.036069900612,0.594397833028,0.424743849282,0.675544873644,3.63394754483
Jose Reyes,160,642,87.075,11.1375,57.7125,40.5,0.286604361371,0.347398030942,0.542515356986,-0.70951119656,-0.635981694452,2.27050955714,0.642662311893,0.449044060931,2.55923839593
Alex Rodriguez,122,463,98.262295082,23.9016393443,75.6885245902,17.262295082,0.272138228942,0.353497164461,1.12104907826,0.473270526084,0.100255148559,0.421079848946,0.180493687229,0.628512306703,2.92466059578
Mike Stanton,123,449,98.7804878049,48.7317073171,113.268292683,7.90243902439,0.289532293987,0.36127744511,1.14784661619,2.77413467197,1.63939466647,-0.323847239092,0.736204839368,0.8574486491,6.83118220401
