name,g,ab,r,hr,rbi,sb,avg,obp,r_score,r_trend,hr_score,hr_trend,rbi_score,rbi_trend,sb_score,sb_trend,avg_score,avg_trend,obp_score,obp_trend,total_score,total_trend
Nate McLouth,255,775,66.071,10.800,38.118,14.612,0.221,0.320,-0.515,-0.007,-0.729,0.338,-1.565,0.184,0.269,1.098,-1.903,0.530,-0.502,-0.836,-4.946,1.307
Reed Johnson,332,717,42.452,4.880,30.741,2.928,0.289,0.328,-1.824,0.000,-1.358,0.000,-1.904,0.000,-0.708,0.000,0.961,0.000,-0.200,0.000,-5.035,0.000
Robert Andino,282,902,63.191,8.043,40.213,10.915,0.243,0.308,-0.675,-1.146,-1.022,0.195,-1.469,-0.260,-0.040,-0.702,-0.971,-1.623,-0.890,-1.247,-5.067,-4.784
Matt LaPorta,239,786,52.192,16.268,67.105,0.678,0.234,0.300,-1.284,-0.371,-0.148,-0.068,-0.233,0.938,-0.896,0.058,-1.337,1.057,-1.188,-0.050,-5.086,1.564
Sean Rodriguez,361,1017,60.133,10.321,48.465,13.014,0.229,0.306,-0.844,-0.519,-0.780,-0.215,-1.090,-0.125,0.135,-0.453,-1.547,-0.529,-0.984,-0.297,-5.110,-2.139
Brett Wallace,232,709,52.371,11.172,46.086,0.698,0.250,0.323,-1.274,0.000,-0.689,0.000,-1.199,0.000,-0.895,0.000,-0.683,0.000,-0.387,0.000,-5.127,0.000
Rod Barajas,301,939,52.206,23.681,67.276,0.000,0.225,0.285,-1.284,-0.475,0.640,-0.568,-0.225,-0.563,-0.953,-0.033,-1.732,-0.439,-1.728,0.083,-5.282,-1.995
Juan Uribe,291,953,55.670,16.701,72.371,1.670,0.226,0.288,-1.092,-1.219,-0.102,-1.691,0.009,-1.373,-0.813,0.186,-1.694,-1.455,-1.603,-1.166,-5.295,-6.720
Chris Snyder,215,636,52.744,18.837,67.060,0.000,0.206,0.320,-1.254,0.000,0.125,0.000,-0.235,0.000,-0.953,0.000,-2.520,0.000,-0.485,0.000,-5.322,0.000
Brandon Inge,329,1086,53.672,13.787,72.383,2.462,0.227,0.294,-1.202,0.294,-0.411,0.359,0.010,0.567,-0.747,-0.211,-1.656,-0.380,-1.382,-0.578,-5.389,0.050
Jonathan Herrera,266,728,55.421,4.263,28.624,6.090,0.261,0.326,-1.105,0.000,-1.424,0.000,-2.002,0.000,-0.444,0.000,-0.205,0.000,-0.265,0.000,-5.445,0.000
Justin Maxwell,191,419,52.586,17.812,55.131,11.874,0.208,0.304,-1.263,0.000,0.016,0.000,-0.783,0.000,0.040,0.000,-2.450,0.000,-1.035,0.000,-5.475,0.000
Jack Hannahan,215,607,45.963,9.042,51.991,1.507,0.247,0.323,-1.630,-1.136,-0.916,-0.636,-0.928,-0.599,-0.827,-0.237,-0.789,-0.125,-0.396,-0.526,-5.485,-3.259
Rick Ankiel,264,749,56.455,12.273,46.636,8.591,0.235,0.300,-1.048,0.000,-0.572,0.000,-1.174,0.000,-0.235,0.000,-1.300,0.000,-1.171,0.000,-5.499,0.000
Laynce Nix,291,603,37.299,12.804,43.423,1.113,0.260,0.316,-2.110,0.000,-0.516,0.000,-1.321,0.000,-0.860,0.000,-0.232,0.000,-0.622,0.000,-5.660,0.000
Nate Schierholtz,366,803,42.492,7.967,34.967,6.197,0.262,0.320,-1.822,0.000,-1.030,0.000,-1.710,0.000,-0.435,0.000,-0.183,0.000,-0.482,0.000,-5.662,0.000
Ben Francisco,270,621,37.200,9.600,46.200,7.200,0.250,0.320,-2.115,0.000,-0.857,0.000,-1.194,0.000,-0.351,0.000,-0.685,0.000,-0.489,0.000,-5.690,0.000
Ronny Paulino,189,607,47.143,5.143,52.286,0.857,0.262,0.307,-1.564,0.000,-1.330,0.000,-0.914,0.000,-0.881,0.000,-0.165,0.000,-0.946,0.000,-5.801,0.000
