name,g,ab,r,hr,rbi,sb,avg,obp,r_score,r_trend,hr_score,hr_trend,rbi_score,rbi_trend,sb_score,sb_trend,avg_score,avg_trend,obp_score,obp_trend,total_score,total_trend
Carlos Beltran,357,1287,82.588,27.681,94.387,9.076,0.279,0.361,0.400,-0.030,1.065,0.689,1.021,0.289,-0.194,0.744,0.550,-1.098,0.954,-1.085,3.796,-0.491
Billy Butler,478,1806,75.577,21.351,94.895,1.356,0.307,0.374,0.012,-0.146,0.393,0.589,1.044,0.587,-0.840,0.047,1.743,-0.148,1.408,-0.147,3.760,0.782
Chase Utley,301,1124,95.262,20.452,82.884,20.452,0.264,0.367,1.102,-0.261,0.297,-0.113,0.492,-0.072,0.757,0.095,-0.069,-0.286,1.149,-0.258,3.728,-0.894
Ryan Howard,366,1367,86.754,34.525,123.934,0.885,0.256,0.339,0.631,-0.855,1.793,-0.233,2.379,0.077,-0.879,-0.078,-0.414,-0.890,0.194,-0.777,3.703,-2.756
Hunter Pence,470,1837,90.996,24.472,100.647,10.685,0.283,0.338,0.866,-0.180,0.724,-0.146,1.308,0.222,-0.060,-0.573,0.701,-0.451,0.140,-0.001,3.680,-1.129
Nick Swisher,448,1629,89.317,27.482,96.549,1.808,0.274,0.366,0.773,-0.377,1.044,-0.313,1.120,0.115,-0.802,0.012,0.333,-0.260,1.124,0.161,3.592,-0.662
Lance Berkman,299,973,81.271,25.465,86.147,3.793,0.275,0.391,0.327,1.934,0.830,1.578,0.642,1.250,-0.636,-0.201,0.402,1.992,2.024,1.423,3.589,7.977
Michael Bourn,454,1815,97.771,4.639,51.740,55.308,0.279,0.346,1.241,0.138,-1.384,0.303,-0.939,0.392,3.671,-0.655,0.543,0.185,0.430,0.200,3.563,0.563
Alejandro De Aza,204,706,92.912,10.324,59.559,31.765,0.292,0.359,0.972,0.000,-0.780,0.000,-0.580,0.000,1.703,0.000,1.090,0.000,0.897,0.000,3.302,0.000
Torii Hunter,448,1687,85.701,22.420,95.464,8.317,0.285,0.351,0.572,0.353,0.506,-0.345,1.070,0.215,-0.258,0.001,0.785,0.520,0.619,0.246,3.295,0.991
Alex Gordon,386,1495,95.689,18.886,75.124,11.751,0.285,0.363,1.126,-0.771,0.130,-1.147,0.135,-0.902,0.030,-0.655,0.803,-0.377,1.010,-0.220,3.234,-4.071
Brandon Phillips,452,1816,100.354,19.354,78.133,16.128,0.285,0.336,1.384,-0.204,0.180,-0.009,0.274,0.518,0.395,-0.038,0.815,0.126,0.060,-0.068,3.109,0.325
Jayson Werth,387,1415,90.837,21.767,72.837,16.744,0.271,0.365,0.857,-0.621,0.437,-0.909,0.030,-0.529,0.447,0.069,0.232,0.042,1.087,0.057,3.089,-1.891
Mike Napoli,361,1174,83.019,35.900,89.302,4.039,0.261,0.355,0.424,0.273,1.939,0.197,0.787,0.130,-0.615,-0.157,-0.220,-0.071,0.759,0.497,3.073,0.869
Mike Morse,346,1194,75.850,29.965,92.705,0.936,0.296,0.345,0.027,0.640,1.308,0.108,0.943,0.664,-0.875,-0.033,1.253,0.012,0.398,-0.363,3.054,1.029
Jay Bruce,460,1654,89.100,32.048,93.678,7.748,0.262,0.340,0.761,0.171,1.529,0.307,0.988,0.574,-0.305,0.125,-0.146,-0.453,0.209,-0.289,3.036,0.434
Derek Jeter,447,1892,106.550,11.235,67.409,15.584,0.294,0.352,1.728,-0.296,-0.683,0.189,-0.219,-0.172,0.350,-0.404,1.200,0.776,0.649,0.418,3.025,0.510
Jason Kipnis,188,727,94.787,18.096,81.862,31.021,0.260,0.335,1.076,0.000,0.046,0.000,0.445,0.000,1.641,0.000,-0.248,0.000,0.026,0.000,2.986,0.000
Melky Cabrera,415,1575,92.125,12.882,73.778,15.614,0.303,0.348,0.928,1.687,-0.508,0.496,0.074,0.876,0.352,0.403,1.556,1.522,0.485,1.163,2.888,6.147
Brett Gardner,325,1018,95.206,5.982,42.868,48.849,0.269,0.365,1.099,-0.705,-1.241,0.194,-1.347,-0.462,3.131,-0.111,0.138,-0.568,1.105,-1.004,2.885,-2.656
Ben Zobrist,464,1689,92.172,17.457,83.793,19.901,0.259,0.359,0.931,0.237,-0.021,0.417,0.534,-0.065,0.711,-0.479,-0.275,0.605,0.868,0.547,2.747,1.263
Angel Pagan,428,1662,91.977,9.841,68.509,37.093,0.281,0.334,0.920,0.393,-0.831,-0.201,-0.169,-0.282,2.148,-0.393,0.636,-0.049,0.003,0.063,2.708,-0.468
Shane Victorino,433,1701,93.908,17.210,69.215,34.420,0.264,0.334,1.027,-0.400,-0.048,-0.441,-0.136,-0.348,1.925,0.114,-0.080,0.006,-0.004,0.005,2.684,-1.064
Andre Ethier,423,1560,83.106,20.681,89.234,1.532,0.289,0.361,0.429,0.107,0.321,-0.305,0.784,0.024,-0.825,-0.039,0.977,-0.138,0.951,-0.107,2.638,-0.458
Rickie Weeks,435,1692,102.041,26.069,72.621,13.407,0.255,0.349,1.478,-0.608,0.894,-0.432,0.020,-0.375,0.168,0.183,-0.444,-0.587,0.519,-0.478,2.635,-2.298
Adam Jones,462,1796,86.610,26.649,82.052,12.273,0.284,0.326,0.623,0.552,0.956,0.466,0.454,0.169,0.073,0.302,0.761,0.054,-0.259,0.235,2.608,1.778
B.J. Upton,453,1669,89.404,24.675,79.033,38.980,0.242,0.317,0.778,-0.118,0.746,0.506,0.315,0.475,2.306,-0.416,-1.002,0.256,-0.592,-0.253,2.551,0.450
Jimmy Rollins,386,1549,99.466,19.725,72.187,32.316,0.255,0.325,1.335,0.485,0.220,0.375,0.000,-0.074,1.749,-0.034,-0.457,0.211,-0.323,0.034,2.524,0.997
Chase Headley,435,1595,80.069,17.131,80.814,17.503,0.278,0.357,0.260,0.489,-0.056,0.890,0.397,1.222,0.510,-0.030,0.526,0.409,0.831,0.819,2.468,3.799
Norichika Aoki,151,520,86.901,10.728,53.642,32.185,0.288,0.355,0.639,0.000,-0.737,0.000,-0.852,0.000,1.738,0.000,0.950,0.000,0.729,0.000,2.468,0.000
Brett Lawrie,168,644,95.464,19.286,70.393,19.286,0.278,0.336,1.114,0.000,0.173,0.000,-0.082,0.000,0.659,0.000,0.508,0.000,0.067,0.000,2.439,0.000
Michael Young,472,1898,91.297,13.729,90.610,4.119,0.299,0.341,0.883,-0.475,-0.418,-0.681,0.847,-0.496,-0.609,-0.114,1.405,-0.104,0.256,-0.176,2.365,-2.046
Austin Jackson,441,1752,108.735,11.020,55.837,22.408,0.280,0.346,1.849,0.345,-0.706,0.648,-0.751,0.763,0.920,-0.617,0.605,0.103,0.418,0.559,2.335,1.801
Carlos Quentin,335,1158,82.209,31.916,101.552,1.451,0.251,0.349,0.379,-0.158,1.515,-0.174,1.350,-0.444,-0.832,-0.131,-0.613,0.380,0.530,0.560,2.329,0.034
Salvador Perez,115,437,81.704,19.722,84.522,0.000,0.311,0.339,0.351,0.000,0.219,0.000,0.567,0.000,-0.953,0.000,1.908,0.000,0.186,0.000,2.278,0.000
Desmond Jennings,212,773,102.396,17.575,56.547,40.500,0.248,0.327,1.498,0.000,-0.009,0.000,-0.718,0.000,2.433,0.000,-0.736,0.000,-0.233,0.000,2.234,0.000
Wilin Rosario,133,450,88.917,37.759,96.226,4.872,0.262,0.302,0.751,0.000,2.137,0.000,1.105,0.000,-0.546,0.000,-0.154,0.000,-1.108,0.000,2.186,0.000
Alexis Rios,449,1709,88.757,21.287,80.459,24.535,0.273,0.313,0.742,-0.014,0.386,0.059,0.381,-0.065,1.098,-0.574,0.311,0.328,-0.747,0.099,2.170,-0.167
David Freese,311,1074,72.405,17.711,88.553,2.605,0.295,0.363,-0.164,0.471,0.006,0.403,0.753,-0.167,-0.735,0.133,1.232,-0.214,1.021,0.696,2.112,1.321
Chipper Jones,333,1159,78.324,20.432,86.595,3.892,0.276,0.365,0.164,0.120,0.295,0.095,0.663,0.252,-0.628,-0.313,0.430,0.397,1.110,0.030,2.034,0.580
Dan Uggla,474,1712,93.646,30.076,90.570,3.076,0.248,0.343,1.013,-0.250,1.320,-0.715,0.845,-0.525,-0.696,-0.027,-0.766,-1.072,0.309,-0.239,2.025,-2.828
Jason Heyward,428,1503,85.542,22.332,74.187,15.519,0.261,0.352,0.564,0.055,0.497,0.272,0.092,0.057,0.344,0.326,-0.213,-0.103,0.641,-0.775,1.925,-0.168
Justin Morneau,284,1065,77.007,23.387,92.979,0.570,0.279,0.352,0.091,-0.723,0.609,-0.691,0.956,-0.408,-0.905,0.015,0.547,-1.363,0.624,-1.457,1.921,-4.627
Kendry Morales,185,677,78.811,28.897,98.076,0.000,0.278,0.327,0.191,0.000,1.195,0.000,1.190,0.000,-0.953,0.000,0.497,0.000,-0.224,0.000,1.896,0.000
Michael Cuddyer,397,1496,88.141,20.403,85.285,10.610,0.273,0.335,0.708,-0.244,0.292,0.471,0.602,0.209,-0.066,0.192,0.288,-0.144,0.047,-0.189,1.871,0.294
Martin Prado,425,1767,94.151,14.485,73.567,9.911,0.290,0.339,1.041,-0.758,-0.337,-0.377,0.064,-0.051,-0.124,0.440,1.029,-0.137,0.166,0.209,1.838,-0.674
Miguel Montero,366,1276,73.475,18.590,96.049,0.443,0.280,0.363,-0.105,0.168,0.099,-0.050,1.097,0.409,-0.916,-0.033,0.585,0.365,1.013,0.954,1.773,1.815
Nick Markakis,424,1690,80.236,15.283,71.448,7.642,0.292,0.361,0.270,0.331,-0.252,0.331,-0.033,0.523,-0.314,-0.252,1.112,-0.019,0.947,-0.013,1.728,0.901
Brandon Moss,106,297,76.415,32.094,82.528,1.528,0.273,0.337,0.058,0.000,1.534,0.000,0.476,0.000,-0.825,0.000,0.288,0.000,0.126,0.000,1.657,0.000
Jim Thome,259,716,60.672,30.023,83.815,0.000,0.265,0.378,-0.814,-0.734,1.314,-1.063,0.535,0.001,-0.953,-0.063,-0.021,-0.871,1.540,-1.388,1.600,-4.118
Carlos Ruiz,367,1153,65.330,13.243,71.068,2.207,0.303,0.388,-0.556,0.569,-0.469,0.516,-0.051,0.557,-0.768,0.194,1.549,0.339,1.895,-0.002,1.599,2.172
Juan Pierre,448,1684,84.978,1.446,44.116,47.732,0.284,0.339,0.532,-0.572,-1.723,-0.013,-1.290,-0.276,3.038,-0.928,0.756,0.539,0.175,0.236,1.488,-1.014
Chris Young,413,1476,85.903,23.927,79.627,22.751,0.243,0.331,0.584,-0.990,0.666,-0.332,0.342,-0.587,0.949,-0.675,-0.953,-0.351,-0.107,-0.345,1.482,-3.281
Carlos Santana,344,1209,84.297,24.017,83.355,5.180,0.247,0.363,0.495,-0.356,0.676,-0.904,0.514,0.107,-0.520,-0.148,-0.781,0.532,1.035,0.437,1.418,-0.333
Elvis Andrus,456,1804,95.566,2.842,55.776,31.974,0.277,0.346,1.119,-0.198,-1.575,0.120,-0.754,0.590,1.720,-0.565,0.475,0.380,0.428,0.181,1.414,0.509
Starlin Castro,445,1783,80.818,9.829,67.348,20.751,0.297,0.336,0.302,0.252,-0.832,0.439,-0.222,0.563,0.782,0.448,1.297,-0.301,0.075,-0.263,1.402,1.139
Neil Walker,398,1494,79.372,15.467,88.734,7.327,0.282,0.341,0.222,-0.131,-0.233,-0.059,0.761,-0.218,-0.340,0.200,0.670,-0.278,0.245,-0.014,1.324,-0.499
Pablo Sandoval,377,1385,75.199,20.626,84.223,2.578,0.287,0.339,-0.009,0.615,0.315,0.145,0.554,0.596,-0.737,-0.100,0.874,0.274,0.175,0.368,1.172,1.898
Marco Scutaro,419,1647,92.019,9.666,71.141,6.959,0.293,0.345,0.923,-0.191,-0.850,-0.257,-0.048,0.380,-0.371,0.125,1.127,0.522,0.380,0.310,1.161,0.889
Dexter Fowler,400,1374,92.745,9.720,54.270,14.985,0.275,0.367,0.963,-0.175,-0.844,0.306,-0.823,0.390,0.300,-0.124,0.389,0.697,1.163,0.705,1.148,1.798
David Murphy,405,1280,66.000,15.200,68.800,14.000,0.291,0.356,-0.519,0.219,-0.261,0.065,-0.155,-0.162,0.217,-0.246,1.041,0.197,0.797,0.409,1.120,0.483
Asdrubal Cabrera,391,1540,81.207,18.230,78.307,13.258,0.273,0.333,0.323,0.374,0.061,0.576,0.282,0.646,0.155,-0.024,0.288,-0.061,-0.038,0.272,1.072,1.783
Freddie Freeman,324,1135,80.500,22.500,85.500,3.000,0.269,0.340,0.284,1.552,0.515,0.187,0.612,0.997,-0.702,-0.156,0.120,-0.764,0.221,-0.141,1.050,1.675
Yadier Molina,413,1445,60.407,16.475,79.627,9.414,0.295,0.351,-0.829,0.909,-0.126,0.830,0.342,0.342,-0.166,0.150,1.217,0.892,0.608,0.736,1.047,3.860
Adam LaRoche,348,1282,77.276,28.397,100.086,0.931,0.255,0.327,0.106,0.000,1.141,0.000,1.283,0.000,-0.875,0.000,-0.454,0.000,-0.253,0.000,0.947,0.000
Justin Ruggiano,137,393,57.942,20.102,57.942,17.737,0.295,0.348,-0.966,0.000,0.260,0.000,-0.654,0.000,0.530,0.000,1.232,0.000,0.503,0.000,0.905,0.000
Rafael Furcal,305,1193,95.075,11.154,63.738,22.839,0.267,0.331,1.092,-0.408,-0.691,-0.355,-0.388,-0.097,0.956,-0.851,0.029,-0.607,-0.106,-0.521,0.892,-2.840
Mark Trumbo,301,1098,71.581,32.831,99.030,6.997,0.259,0.302,-0.210,0.128,1.613,0.222,1.234,0.456,-0.368,-0.424,-0.304,0.509,-1.113,0.799,0.852,1.690
Jason Kubel,383,1390,76.136,26.648,101.514,0.846,0.257,0.327,0.042,0.256,0.955,0.429,1.348,-0.028,-0.882,0.013,-0.380,0.146,-0.243,0.160,0.841,0.977
Scott Podsednik,197,738,67.431,5.756,51.807,35.360,0.298,0.337,-0.440,0.000,-1.265,0.000,-0.936,0.000,2.003,0.000,1.356,0.000,0.101,0.000,0.820,0.000
Andy Dirks,166,533,87.831,14.639,61.482,5.855,0.293,0.340,0.691,0.000,-0.321,0.000,-0.491,0.000,-0.463,0.000,1.128,0.000,0.208,0.000,0.750,0.000
Ichiro Suzuki,485,1986,77.159,6.680,48.433,37.076,0.290,0.326,0.099,0.094,-1.167,0.106,-1.091,0.312,2.147,-0.544,1.016,-0.569,-0.272,-0.686,0.732,-1.287
Matthew Joyce,342,1077,72.947,21.789,82.421,9.000,0.256,0.347,-0.134,-0.430,0.439,-0.119,0.471,-0.413,-0.201,-0.777,-0.404,-1.186,0.473,-0.142,0.644,-3.067
Emilio Bonifacio,289,989,77.356,3.363,31.952,45.965,0.280,0.345,0.110,0.000,-1.519,0.000,-1.849,0.000,2.890,0.000,0.598,0.000,0.409,0.000,0.639,0.000
Alfonso Soriano,435,1532,68.897,30.538,102.414,4.841,0.255,0.312,-0.359,-0.006,1.369,0.295,1.390,0.601,-0.548,0.005,-0.448,0.127,-0.767,0.097,0.637,1.118
Drew Stubbs,444,1611,94.135,18.608,58.743,36.486,0.238,0.311,1.040,-0.190,0.101,-0.394,-0.617,-0.712,2.097,0.104,-1.183,-0.599,-0.814,-0.678,0.624,-2.467
Brian McCann,392,1384,65.296,26.862,88.852,4.546,0.257,0.344,-0.558,-0.308,0.978,0.073,0.766,0.061,-0.573,-0.097,-0.364,-0.589,0.346,-1.019,0.596,-1.879
Josh Rutledge,73,277,82.110,17.753,82.110,15.534,0.274,0.306,0.373,0.000,0.010,0.000,0.457,0.000,0.346,0.000,0.357,0.000,-0.982,0.000,0.561,0.000
Travis Hafner,278,940,64.101,22.144,82.165,1.165,0.267,0.363,-0.624,0.458,0.477,0.470,0.459,1.330,-0.855,-0.281,0.048,0.142,1.033,-0.263,0.537,1.856
Ike Davis,339,1171,75.982,27.717,88.885,1.434,0.252,0.336,0.034,0.000,1.069,0.000,0.768,0.000,-0.833,0.000,-0.587,0.000,0.071,0.000,0.522,0.000
Howie Kendrick,445,1703,76.449,13.106,74.629,15.290,0.284,0.325,0.060,-0.140,-0.484,-0.107,0.113,-0.039,0.325,0.012,0.747,0.145,-0.312,0.264,0.448,0.134
Rajai Davis,380,1292,74.179,5.968,52.863,55.421,0.263,0.304,-0.066,-0.028,-1.243,0.128,-0.888,-0.155,3.680,-0.191,-0.114,-0.418,-1.033,-0.067,0.337,-0.730
Aaron Hill,431,1657,84.195,22.552,80.436,13.907,0.253,0.312,0.489,0.397,0.520,-0.241,0.380,0.193,0.210,0.453,-0.522,1.741,-0.752,1.412,0.325,3.955
Jose Altuve,204,797,84.176,7.147,38.912,31.765,0.286,0.329,0.488,0.000,-1.117,0.000,-1.529,0.000,1.703,0.000,0.850,0.000,-0.181,0.000,0.213,0.000
Eric Hosmer,280,1058,75.793,19.093,79.843,15.621,0.262,0.319,0.023,-0.777,0.152,-1.009,0.352,-1.475,0.353,0.245,-0.171,-2.015,-0.531,-0.831,0.180,-5.862
Kelly Johnson,443,1637,83.743,23.038,67.287,15.725,0.245,0.330,0.464,-0.689,0.572,-0.493,-0.225,-0.218,0.362,0.061,-0.880,-0.935,-0.118,-0.751,0.175,-3.026
Daniel Murphy,265,962,67.857,7.336,69.691,9.170,0.302,0.344,-0.416,-0.491,-1.097,-0.354,-0.114,-0.248,-0.186,0.232,1.541,-1.091,0.358,-0.848,0.084,-2.800
Mark Reynolds,435,1490,84.910,34.262,89.379,5.214,0.213,0.326,0.529,-0.234,1.765,-0.465,0.791,-0.249,-0.517,-0.295,-2.207,0.557,-0.290,0.302,0.070,-0.383
Todd Helton,311,1059,71.884,15.106,74.489,0.521,0.270,0.366,-0.193,0.644,-0.271,0.734,0.106,1.769,-0.909,-0.063,0.176,1.689,1.148,0.814,0.057,5.588
Luke Scott,291,970,71.814,27.835,82.948,4.454,0.253,0.327,-0.197,0.000,1.082,0.000,0.495,0.000,-0.581,0.000,-0.559,0.000,-0.230,0.000,0.010,0.000
Ben Revere,254,989,81.000,0.000,40.819,47.197,0.278,0.319,0.312,0.671,-1.877,-0.070,-1.441,0.006,2.993,0.405,0.513,0.872,-0.505,0.716,-0.006,2.601
Wilson Betemit,283,940,66.975,18.890,73.845,2.290,0.280,0.346,-0.465,-0.099,0.131,-0.346,0.077,-0.381,-0.761,-0.033,0.585,-0.600,0.418,-0.743,-0.015,-2.203
Ian Desmond,438,1622,72.493,15.904,69.164,23.301,0.271,0.313,-0.159,0.720,-0.186,0.915,-0.138,0.497,0.995,0.299,0.201,0.421,-0.744,0.489,-0.032,3.341
Jon Jay,381,1185,73.559,7.654,44.220,11.480,0.300,0.359,-0.100,0.646,-1.063,-0.063,-1.285,0.350,0.007,0.892,1.454,0.052,0.874,0.298,-0.115,2.176
Delmon Young,428,1617,70.023,19.304,94.626,2.271,0.278,0.311,-0.296,-0.586,0.175,-0.198,1.032,-0.832,-0.763,-0.243,0.523,-0.532,-0.805,-0.449,-0.135,-2.840
Bobby Abreu,396,1294,69.955,12.682,66.273,20.864,0.252,0.352,-0.300,-1.461,-0.529,-1.119,-0.271,-0.497,0.791,-0.156,-0.586,0.024,0.643,0.145,-0.252,-3.064
Cody Ross,404,1406,78.193,20.050,79.396,6.416,0.260,0.324,0.156,0.330,0.254,0.534,0.332,0.691,-0.417,-0.311,-0.264,0.012,-0.333,0.165,-0.271,1.420
Jonny Gomes,367,1101,72.392,22.071,77.689,6.621,0.249,0.340,-0.165,-0.206,0.469,0.394,0.253,-0.351,-0.399,-0.054,-0.715,-0.026,0.204,0.814,-0.354,0.570
Denard Span,351,1429,89.077,4.154,53.077,22.615,0.271,0.334,0.760,0.029,-1.435,0.059,-0.878,-0.152,0.938,-0.268,0.208,0.354,0.021,0.258,-0.387,0.281
Dee Gordon,143,527,81.566,1.133,31.720,63.441,0.260,0.299,0.343,0.000,-1.756,0.000,-1.859,0.000,4.351,0.000,-0.249,0.000,-1.232,0.000,-0.402,0.000
Johnny Damon,359,1328,83.482,12.635,64.529,15.343,0.259,0.331,0.450,-0.163,-0.534,0.833,-0.351,1.028,0.330,0.598,-0.288,-0.272,-0.096,-0.736,-0.490,1.287
Todd Frazier,169,534,69.018,23.964,78.604,3.834,0.264,0.323,-0.352,0.000,0.670,0.000,0.295,0.000,-0.632,0.000,-0.077,0.000,-0.396,0.000,-0.492,0.000
Jordan Pacheco,153,559,59.294,7.412,72.000,7.412,0.306,0.338,-0.891,0.000,-1.089,0.000,-0.008,0.000,-0.333,0.000,1.684,0.000,0.141,0.000,-0.496,0.000
Adam Dunn,431,1512,78.181,33.828,90.585,0.752,0.212,0.330,0.156,0.190,1.719,0.140,0.846,-0.067,-0.890,0.053,-2.254,-0.832,-0.128,-0.262,-0.551,-0.778
Erick Aybar,422,1607,79.464,8.829,51.057,27.640,0.274,0.317,0.227,-0.080,-0.938,0.121,-0.971,0.440,1.358,-0.142,0.334,0.671,-0.575,0.363,-0.566,1.372
Colby Rasmus,424,1500,89.788,22.925,74.123,8.024,0.240,0.314,0.799,-0.354,0.560,-0.125,0.089,0.154,-0.282,-0.397,-1.088,-0.821,-0.679,-0.974,-0.602,-2.516
Alexei Ramirez,472,1792,76.538,14.415,73.106,13.729,0.272,0.310,0.065,-0.635,-0.345,-0.495,0.043,0.073,0.195,0.248,0.248,-0.266,-0.831,-0.294,-0.626,-1.369
Ryan Ludwick,400,1402,69.660,22.680,90.720,0.405,0.253,0.326,-0.316,-0.146,0.534,0.564,0.852,0.457,-0.919,-0.033,-0.533,0.460,-0.270,0.406,-0.652,1.708
Scott Rolen,290,1017,68.710,18.434,88.262,2.234,0.263,0.327,-0.369,-0.872,0.082,-0.542,0.739,-0.671,-0.766,0.059,-0.140,-0.628,-0.223,-0.494,-0.677,-3.148
Aubrey Huff,359,1168,68.591,17.599,68.591,5.415,0.264,0.346,-0.376,-2.644,-0.006,-1.307,-0.165,-0.985,-0.500,-0.205,-0.091,-1.515,0.446,-2.205,-0.693,-8.861
Jose Tabata,296,1072,85.926,6.020,39.405,23.534,0.271,0.338,0.585,-0.717,-1.237,-0.110,-1.506,-0.572,1.015,-0.729,0.235,-0.914,0.131,-0.369,-0.777,-3.411
Cameron Maybin,366,1314,86.311,11.066,50.016,33.197,0.249,0.312,0.606,-0.407,-0.701,-0.375,-1.018,-0.066,1.822,0.402,-0.716,0.260,-0.771,0.162,-0.778,-0.023
Stephen Drew,316,1173,84.589,13.842,68.696,7.690,0.257,0.332,0.511,-0.256,-0.406,-0.132,-0.160,-0.126,-0.310,-0.377,-0.354,-0.857,-0.070,-0.545,-0.789,-2.293
Will Venable,400,1179,69.255,12.555,56.700,31.995,0.252,0.323,-0.339,-0.147,-0.542,-0.340,-0.711,-0.242,1.722,-0.410,-0.587,0.394,-0.363,0.269,-0.821,-0.474
Vernon Wells,365,1338,77.671,29.737,81.222,7.989,0.244,0.291,0.128,-0.277,1.284,-0.070,0.416,-0.327,-0.285,0.333,-0.904,-1.876,-1.508,-2.308,-0.869,-4.527
David DeJesus,370,1300,79.686,10.508,58.232,6.130,0.270,0.350,0.239,0.058,-0.760,0.006,-0.641,-0.190,-0.440,0.060,0.174,-0.954,0.556,-0.416,-0.873,-1.436
Carlos Lee,459,1740,65.647,18.000,91.765,3.529,0.261,0.321,-0.539,-0.265,0.036,-0.755,0.900,-0.138,-0.658,-0.024,-0.184,0.367,-0.438,0.698,-0.882,-0.118
Quintin Berry,94,291,75.830,3.447,49.979,36.191,0.258,0.330,0.025,0.000,-1.511,0.000,-1.020,0.000,2.073,0.000,-0.342,0.000,-0.125,0.000,-0.900,0.000
Michael Brantley,335,1300,79.307,7.737,61.899,16.925,0.271,0.326,0.218,-0.411,-1.055,-0.045,-0.472,0.381,0.462,-0.406,0.206,0.765,-0.272,0.869,-0.912,1.153
Raul Ibanez,429,1480,71.748,20.769,86.476,3.399,0.255,0.317,-0.201,-0.395,0.331,0.270,0.657,-0.183,-0.669,-0.050,-0.469,-0.531,-0.582,-0.513,-0.933,-1.402
Jed Lowrie,240,820,76.950,20.925,68.850,2.700,0.256,0.331,0.088,-0.148,0.347,1.340,-0.153,0.134,-0.727,0.117,-0.411,-0.204,-0.093,0.854,-0.949,2.093
Logan Morrison,278,1002,74.007,20.978,73.424,1.748,0.250,0.339,-0.076,-1.032,0.353,-1.218,0.057,-1.363,-0.807,-0.074,-0.647,-0.463,0.167,-0.584,-0.952,-4.735
Jeff Keppinger,351,1278,67.846,9.692,61.846,2.308,0.296,0.341,-0.417,-0.204,-0.847,0.224,-0.475,-0.242,-0.760,-0.164,1.258,0.584,0.254,0.323,-0.986,0.520
Chris Davis,243,834,71.333,26.000,72.000,4.000,0.258,0.314,-0.224,0.000,0.887,0.000,-0.008,0.000,-0.619,0.000,-0.340,0.000,-0.700,0.000,-1.004,0.000
J.J. Hardy,388,1530,85.593,24.216,77.660,0.418,0.256,0.300,0.566,0.442,0.697,0.560,0.252,0.223,-0.918,-0.096,-0.434,-0.427,-1.186,-0.464,-1.022,0.238
Jesus Guzman,196,534,53.724,11.571,76.041,9.918,0.277,0.342,-1.199,0.000,-0.647,0.000,0.178,0.000,-0.124,0.000,0.475,0.000,0.280,0.000,-1.037,0.000
Danny Espinosa,346,1270,79.595,20.601,64.145,17.324,0.239,0.315,0.234,0.423,0.313,-0.554,-0.369,-0.475,0.495,0.220,-1.115,0.497,-0.643,-0.216,-1.085,-0.104
Brennan Boesch,380,1362,75.032,17.905,74.605,7.674,0.259,0.315,-0.019,0.109,0.026,-0.161,0.112,-0.296,-0.311,-0.078,-0.282,-0.189,-0.647,-0.406,-1.121,-1.021
Matt Wieters,413,1472,69.036,21.966,80.804,1.569,0.253,0.326,-0.351,0.746,0.458,0.517,0.397,0.543,-0.822,0.102,-0.525,0.086,-0.287,0.244,-1.130,2.237
Alex Avila,361,1125,59.684,15.706,72.249,3.141,0.260,0.358,-0.869,0.375,-0.207,0.035,0.003,0.444,-0.690,-0.045,-0.228,0.364,0.858,0.620,-1.134,1.793
Mitch Moreland,295,936,66.447,21.966,69.193,3.295,0.264,0.328,-0.494,-0.793,0.458,0.038,-0.137,0.364,-0.677,-0.082,-0.083,0.571,-0.220,0.082,-1.154,0.180
Kyle Seager,208,776,65.423,17.913,77.106,12.462,0.259,0.315,-0.551,0.000,0.027,0.000,0.227,0.000,0.089,0.000,-0.288,0.000,-0.666,0.000,-1.163,0.000
Garrett Jones,451,1490,65.734,22.989,82.616,5.388,0.254,0.313,-0.534,0.276,0.567,0.339,0.480,0.171,-0.502,-0.228,-0.484,0.521,-0.714,0.256,-1.188,1.335
Jonathan Lucroy,307,1023,60.684,14.775,75.459,5.277,0.279,0.326,-0.814,0.661,-0.306,0.500,0.151,0.904,-0.512,-0.107,0.535,1.144,-0.260,1.107,-1.206,4.210
Mike Aviles,337,1222,72.588,13.460,62.973,20.190,0.270,0.302,-0.154,-0.608,-0.446,0.128,-0.423,0.560,0.735,-0.187,0.176,-0.906,-1.128,-0.689,-1.241,-1.702
Chris Johnson,337,1207,57.685,15.864,81.721,4.807,0.279,0.318,-0.980,-0.292,-0.191,-0.107,0.439,0.026,-0.551,-0.001,0.561,-0.482,-0.542,-0.066,-1.264,-0.922
Gaby Sanchez,415,1443,67.923,17.566,75.340,3.513,0.258,0.333,-0.413,-0.780,-0.010,-0.503,0.145,-0.914,-0.659,-0.184,-0.311,-0.853,-0.031,-0.815,-1.278,-4.050
Omar Infante,431,1604,71.039,10.148,56.005,10.524,0.289,0.323,-0.240,-0.071,-0.798,0.117,-0.743,0.066,-0.073,0.367,0.958,-0.814,-0.394,-0.776,-1.290,-1.112
Seth Smith,405,1217,70.800,18.400,65.200,5.600,0.259,0.333,-0.253,0.121,0.079,-0.179,-0.321,0.124,-0.485,-0.026,-0.296,0.001,-0.025,0.380,-1.301,0.421
Josh Reddick,272,927,78.022,23.824,70.279,7.743,0.249,0.305,0.147,0.567,0.655,1.751,-0.087,1.467,-0.306,0.758,-0.702,-1.222,-1.011,-0.617,-1.303,2.704
